step_id,sim_time_s,Vx_kmh,beta_deg,w_degps,delta1_deg,delta2_deg,delta3_deg,fb_deg,beta_int_deg,status
0,0.000000,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,OK
1,0.010000,39.998935,0.000001,-0.000267,0.000000,-0.000000,-0.000001,-0.000001,0.000000,OK
2,0.020000,39.996823,0.000002,-0.000190,0.000000,-0.000000,-0.000001,-0.000001,0.000000,OK
3,0.030000,39.994298,0.000001,-0.000021,0.000000,-0.000000,-0.000001,-0.000001,0.000000,OK
4,0.040000,39.991596,-0.000001,0.000042,0.000000,0.000000,0.000000,0.000000,0.000000,OK
5,0.050000,39.988893,-0.000002,0.000064,0.000000,0.000000,0.000001,0.000001,0.000000,OK
6,0.060000,39.986248,-0.000002,0.000082,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
7,0.070000,39.983659,-0.000001,0.000099,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
8,0.080000,39.981104,-0.000001,0.000115,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
9,0.090000,39.978555,-0.000001,0.000127,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
10,0.100000,39.975989,-0.000001,0.000134,0.000000,0.000000,0.000000,0.000000,-0.000000,OK
11,0.110000,39.973388,-0.000001,0.000135,0.000000,0.000000,0.000001,0.000001,-0.000000,OK
12,0.120000,39.970741,-0.000003,0.000132,0.000000,0.000000,0.000002,0.000002,-0.000000,OK
13,0.130000,39.968048,-0.000004,0.000124,0.000000,0.000000,0.000003,0.000003,-0.000000,OK
14,0.140000,39.965314,-0.000007,0.000114,0.000000,0.000000,0.000004,0.000004,-0.000000,OK
15,0.150000,39.962549,-0.000009,0.000102,0.000000,0.000000,0.000006,0.000006,-0.000000,OK
16,0.160000,39.959766,-0.000012,0.000092,0.000000,0.000000,0.000007,0.000007,-0.000000,OK
17,0.170000,39.956983,-0.000014,0.000083,0.000000,0.000000,0.000009,0.000009,-0.000001,OK
18,0.180000,39.954217,-0.000016,0.000077,0.000000,0.000000,0.000010,0.000010,-0.000001,OK
19,0.190000,39.951486,-0.000016,0.000075,0.000000,0.000000,0.000010,0.000010,-0.000001,OK
20,0.200000,39.948801,-0.000016,0.000076,0.000000,0.000000,0.000010,0.000010,-0.000001,OK
21,0.210000,39.946171,-0.000016,0.000080,0.000000,0.000000,0.000010,0.000010,-0.000001,OK
22,0.220000,39.943594,-0.000014,0.000086,0.000000,0.000000,0.000009,0.000009,-0.000001,OK
23,0.230000,39.941061,-0.000012,0.000092,0.000000,0.000000,0.000008,0.000008,-0.000001,OK
24,0.240000,39.938557,-0.000011,0.000098,0.000000,0.000000,0.000007,0.000007,-0.000002,OK
25,0.250000,39.936060,-0.000009,0.000103,0.000000,0.000000,0.000006,0.000006,-0.000002,OK
26,0.260000,39.933556,-0.000007,-0.000468,0.000000,0.000000,0.000005,0.000005,-0.000002,OK
27,0.270000,39.929535,-0.000088,0.025825,0.000000,0.000001,0.000054,0.000054,-0.000003,OK
28,0.280000,39.916131,-0.000208,0.024259,0.000000,0.000003,0.000127,0.000127,-0.000005,OK
29,0.290000,39.892892,-0.000193,0.018813,0.000000,0.000003,0.000119,0.000119,-0.000007,OK
30,0.300000,39.862368,-0.000179,0.017851,0.000000,0.000003,0.000112,0.000112,-0.000008,OK
31,0.310000,39.827002,-0.000249,0.017355,0.000000,0.000004,0.000155,0.000155,-0.000011,OK
32,0.320000,39.788667,-0.000420,0.015799,0.000000,0.000006,0.000259,0.000259,-0.000015,OK
33,0.330000,39.748692,-0.000672,0.013071,0.000000,0.000010,0.000414,0.000414,-0.000022,OK
34,0.340000,39.707980,-0.000959,0.009613,0.000000,0.000014,0.000591,0.000591,-0.000031,OK
35,0.350000,39.667120,-0.001226,0.006026,0.000000,0.000018,0.000757,0.000757,-0.000044,OK
36,0.360000,39.626495,-0.001419,0.002832,0.000000,0.000021,0.000880,0.000880,-0.000058,OK
